Category,Monthly Budget (USD),Quarterly Budget (USD),Annual Budget (USD)
Digital Marketing (Ads),$50.00,$150.00,$600.00
Email Marketing (getResponse),$97.00,$291.00,"$1,164.00"
SEO & Content Creation,$100.00,$300.00,"$1,200.00"
Social Media Management,$0.00,$0.00,$0.00
Event & Webinar Promotion,$50.00,$150.00,$600.00
Outreach (Cold Calls & Emails (Apollo)),$79.00,$237.00,$948.00
Talent Pool Management,$0.00,$0.00,$0.00
Sales Team,$0.00,$0.00,$0.00
Operational Costs,$0.00,$0.00,$0.00
Local Partnerships & Networking (Events),$700.00,"$2,100.00","$8,400.00"
Training & Development,$0.00,$0.00,$0.00
Market Research,$0.00,$0.00,$0.00
Client Support,$0.00,$0.00,$0.00
,,,
Sub-total,"$1,076.00","$3,228.00","$12,912.00"
Email Marketing (getResponse),$97.00,$291.00,"$1,164.00"
Outreach (Cold Calls & Emails (Apollo)),$79.00,$237.00,$948.00
Deduct,$176.00,$528.00,"$2,112.00"
,,,
Total,$900.00,"$2,700.00","$10,800.00"
